Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,RC_Result,1,Medium,0.71,Correct,,b,B
zero-shot,RC_Result,2,Medium,0.46,Correct,,d,D
zero-shot,RC_Result,5,Medium,1.29,Correct,,c,C
zero-shot,RC_Result,6,Difficult,0.37,Correct,,b,B
zero-shot,RC_Result,7,Challenging,0.67,Correct,,b,B
zero-shot,RC_Result,10,Medium,0.47,Correct,,a,A
zero-shot,RC_Result,11,Challenging,0.56,Correct,,c,C
zero-shot,RC_Result,13,Challenging,0.85,Correct,,c,C
zero-shot,RC_Result,15,Medium,0.71,Correct,,a,A
zero-shot,RC_Result,16,Medium,0.47,Correct,,b,B
zero-shot,RC_Result,17,Medium,6.72,Correct,,c,C
zero-shot,RC_Result,18,Medium,0.58,Correct,,b,B
zero-shot,RC_Result,18,Medium,0.34,Correct,,a,A
zero-shot,RC_Result,20,Medium,1.66,Correct,,c,C
zero-shot,RC_Result,21,Medium,0.27,Correct,,d,D
zero-shot,RC_Result,22,Medium,0.54,Correct,,e,E
zero-shot,RC_Result,24,Medium,0.44,Correct,,d,D
zero-shot,RC_Result,27,Medium,0.43,Correct,,b,B
zero-shot,RC_Result,28,Medium,0.8,Correct,,a,A
zero-shot,RC_Result,28,Medium,0.69,Correct,,d,D
zero-shot,RC_Result,29,Medium,1.58,Correct,,c,C
zero-shot,RC_Result,31,Medium,0.48,Correct,,c,C
zero-shot,RC_Result,31,Medium,0.67,Correct,,b,B
zero-shot,RC_Result,34,Medium,1.24,Correct,,c,C
zero-shot,RC_Result,35,Medium,0.98,Correct,,c,C
zero-shot,RC_Result,36,Medium,1.11,Correct,,b,B
zero-shot,RC_Result,37,Medium,0.33,Correct,,d,D
zero-shot,RC_Result,38,Medium,0.86,Correct,,c,C
zero-shot,RC_Result,41,Medium,0.35,Correct,,b,B
zero-shot,RC_Result,42,Medium,0.68,Correct,,a,A
zero-shot,RC_Result,43,Medium,0.89,Correct,,c,C
zero-shot,RC_Result,45,Medium,0.66,Correct,,c,C
zero-shot,RC_Result,47,Medium,0.95,Correct,,b,B
zero-shot,RC_Result,48,Medium,0.77,Correct,,c,C
zero-shot,CR,1,Medium,0.43,Correct,,b,B
zero-shot,CR,2,Medium,0.56,Correct,,d,D
zero-shot,CR,3,Medium,0.38,Correct,,c,C
zero-shot,CR,5,Medium,0.55,Correct,,c,C
zero-shot,CR,6,Difficult,0.58,Correct,,b,B
zero-shot,CR,7,Challenging,0.64,Correct,,b,B
zero-shot,CR,9,Medium,0.55,Correct,,a,A
zero-shot,CR,10,Medium,0.61,Correct,,a,A
zero-shot,CR,11,Challenging,1.02,Correct,,c,C
zero-shot,CR,12,Challenging,0.41,Correct,,b,B
zero-shot,CR,13,Challenging,0.69,Correct,,c,C
zero-shot,CR,16,Medium,0.54,Correct,,b,B
zero-shot,CR,18,Medium,0.81,Correct,,b,B
zero-shot,CR,18,Medium,0.5,Correct,,a,A
zero-shot,CR,20,Medium,0.54,Correct,,c,C
zero-shot,CR,21,Medium,0.28,Correct,,d,D
zero-shot,CR,22,Medium,0.47,Correct,,e,E
zero-shot,CR,24,Medium,0.74,Correct,,d,D
zero-shot,CR,25,Medium,1.15,Correct,,a,A
zero-shot,CR,27,Medium,0.53,Correct,,b,B
zero-shot,CR,28,Medium,0.52,Correct,,a,A
zero-shot,CR,28,Medium,0.58,Correct,,d,D
zero-shot,CR,29,Medium,0.49,Correct,,c,C
zero-shot,CR,31,Medium,0.45,Correct,,c,C
zero-shot,CR,31,Medium,0.5,Correct,,b,B
zero-shot,CR,36,Medium,0.51,Correct,,b,B
zero-shot,CR,38,Medium,0.24,Correct,,c,C
zero-shot,CR,41,Medium,0.46,Correct,,b,B
zero-shot,CR,42,Medium,0.44,Correct,,a,A
zero-shot,CR,47,Medium,0.41,Correct,,b,B
zero-shot,CR,48,Medium,0.87,Correct,,c,C
zero-shot,RC_Result,3,Medium,3.57,Incorrect,,c,A
zero-shot,RC_Result,4,Medium,0.41,Incorrect,,a,D
zero-shot,RC_Result,8,Challenging,0.75,Incorrect,,c,B
zero-shot,RC_Result,9,Medium,0.59,Incorrect,,a,D
zero-shot,RC_Result,12,Challenging,0.83,Incorrect,,b,C
zero-shot,RC_Result,14,Challenging,2.52,Incorrect,,c,D
