Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,reading_comp,N/A,Hard,0.72,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,0.72,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,0.41,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.82,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.45,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.72,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.36,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.37,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,0.5,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.47,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,0.4,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,1.0,Correct,,B,B
zero-shot,reading_comp,N/A,Hard,0.52,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.64,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.37,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,0.83,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.52,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,0.9,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,0.51,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,0.54,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.54,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,1.03,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,0.64,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.57,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,0.58,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.36,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.36,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.79,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.72,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.56,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,1.39,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.73,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.55,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.38,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.81,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,1.0,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.33,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.48,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.64,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.36,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,1.16,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,1.36,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.32,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.75,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.48,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.53,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.75,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.62,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.27,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.57,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.66,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.57,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,0.7,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,0.89,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,2.65,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,4.24,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Easy,3.01,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,0.75,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,0.63,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Hard,0.91,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Hard,1.56,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,0.53,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,0.58,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,0.44,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,0.45,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,0.5,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Hard,0.59,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,1.01,Correct,,D,D
