Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,toefl_listening,N/A,N/A,0.53,Correct,,D,D
zero-shot,toefl_listening,N/A,N/A,0.83,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.87,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.7,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.9,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.68,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.45,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.47,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.93,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.62,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.43,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.7,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.85,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.1,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.94,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.56,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.93,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.12,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.43,Incorrect,,B,D
zero-shot,toefl_listening,N/A,N/A,2.48,Incorrect,,A,D
zero-shot,toefl_listening,N/A,N/A,0.91,Incorrect,,C,D
zero-shot,toefl_listening,N/A,N/A,0.62,Incorrect,,B D,D
zero-shot,toefl_listening,N/A,N/A,1.07,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,0.99,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,0.91,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,0.96,Correct,,D,D
five-shot,toefl_listening,N/A,N/A,0.9,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.84,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.95,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.92,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.62,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.8,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.77,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.0,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.82,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.62,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.68,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.79,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.38,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.8,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.86,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.64,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.6,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.74,Incorrect,,B,D
five-shot,toefl_listening,N/A,N/A,1.44,Incorrect,,A,D
five-shot,toefl_listening,N/A,N/A,0.38,Incorrect,,C,D
five-shot,toefl_listening,N/A,N/A,0.33,Incorrect,,B D,D
five-shot,toefl_listening,N/A,N/A,1.08,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,0.78,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,0.75,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,6.53,Correct,,D,D
chain-of-thought,toefl_listening,N/A,N/A,6.34,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,1.01,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,8.83,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,1.0,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,5.68,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.2,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,0.91,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,1.15,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.79,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.67,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,1.06,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,1.11,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.49,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,0.95,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,1.24,Incorrect,,B,D
chain-of-thought,toefl_listening,N/A,N/A,6.39,Incorrect,,A,D
chain-of-thought,toefl_listening,N/A,N/A,7.24,Incorrect,,C,D
chain-of-thought,toefl_listening,N/A,N/A,10.37,Incorrect,,B D,"C, A"
chain-of-thought,toefl_listening,N/A,N/A,5.84,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,6.01,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,0.87,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,0.77,Incorrect,,B,"A, B"
chain-of-thought,toefl_listening,N/A,N/A,8.45,Incorrect,,B,"D, C"
chain-of-thought,toefl_listening,N/A,N/A,6.52,Incorrect,,B,"D, A"
