Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,RC_Result,1,Medium,0.6,Correct,,b,B
zero-shot,RC_Result,4,Medium,0.58,Correct,,a,A
zero-shot,RC_Result,5,Medium,2.55,Correct,,c,C
zero-shot,RC_Result,8,Challenging,0.61,Correct,,c,C
zero-shot,RC_Result,9,Medium,0.37,Correct,,a,A
zero-shot,RC_Result,11,Challenging,0.45,Correct,,c,C
zero-shot,RC_Result,13,Challenging,0.52,Correct,,c,C
zero-shot,RC_Result,16,Medium,0.69,Correct,,b,B
zero-shot,RC_Result,18,Medium,0.64,Correct,,a,A
zero-shot,RC_Result,20,Medium,0.43,Correct,,c,C
zero-shot,RC_Result,21,Medium,0.53,Correct,,d,D
zero-shot,RC_Result,22,Medium,0.62,Correct,,e,E
zero-shot,RC_Result,24,Medium,0.58,Correct,,d,D
zero-shot,RC_Result,25,Medium,0.49,Correct,,a,A
zero-shot,RC_Result,26,Medium,0.35,Correct,,d,D
zero-shot,RC_Result,28,Medium,0.5,Correct,,a,A
zero-shot,RC_Result,28,Medium,0.45,Correct,,d,D
zero-shot,RC_Result,29,Medium,0.5,Correct,,c,C
zero-shot,RC_Result,31,Medium,0.26,Correct,,c,C
zero-shot,RC_Result,32,Medium,6.03,Correct,,e,E
zero-shot,RC_Result,35,Medium,0.72,Correct,,c,C
zero-shot,RC_Result,36,Medium,1.0,Correct,,b,B
zero-shot,RC_Result,37,Medium,0.6,Correct,,d,D
zero-shot,RC_Result,38,Medium,3.26,Correct,,c,C
zero-shot,RC_Result,40,Medium,0.73,Correct,,c,C
zero-shot,RC_Result,41,Medium,0.48,Correct,,b,B
zero-shot,RC_Result,43,Medium,0.64,Correct,,c,C
zero-shot,RC_Result,46,Medium,17.95,Correct,,b,B
zero-shot,CR,1,Medium,0.94,Correct,,b,B
zero-shot,CR,5,Medium,0.44,Correct,,c,C
zero-shot,CR,6,Difficult,0.82,Correct,,b,B
zero-shot,CR,7,Challenging,1.35,Correct,,b,B
zero-shot,CR,8,Challenging,16.44,Correct,,c,C
zero-shot,CR,10,Medium,0.49,Correct,,a,A
zero-shot,CR,11,Challenging,0.44,Correct,,c,C
zero-shot,CR,13,Challenging,2.38,Correct,,c,C
zero-shot,CR,18,Medium,0.5,Correct,,b,B
zero-shot,CR,20,Medium,18.91,Correct,,c,C
zero-shot,CR,21,Medium,17.23,Correct,,d,D
zero-shot,CR,22,Medium,1.53,Correct,,e,E
zero-shot,CR,24,Medium,0.52,Correct,,d,D
zero-shot,CR,25,Medium,1.91,Correct,,a,A
zero-shot,CR,27,Medium,0.95,Correct,,b,B
zero-shot,CR,28,Medium,14.43,Correct,,a,A
zero-shot,CR,28,Medium,0.46,Correct,,d,D
zero-shot,CR,29,Medium,0.91,Correct,,c,C
zero-shot,CR,31,Medium,13.45,Correct,,c,C
zero-shot,CR,35,Medium,0.93,Correct,,c,C
zero-shot,CR,36,Medium,0.75,Correct,,b,B
zero-shot,CR,37,Medium,0.62,Correct,,d,D
zero-shot,CR,41,Medium,0.49,Correct,,b,B
zero-shot,CR,42,Medium,1.25,Correct,,a,A
zero-shot,CR,43,Medium,0.5,Correct,,c,C
zero-shot,CR,45,Medium,1.03,Correct,,c,C
zero-shot,CR,47,Medium,1.24,Correct,,b,B
zero-shot,CR,48,Medium,0.5,Correct,,c,C
zero-shot,RC_Result,2,Medium,1.07,Incorrect,,d,E
zero-shot,RC_Result,3,Medium,0.79,Incorrect,,c,B
zero-shot,RC_Result,6,Difficult,0.29,Incorrect,,b,A
zero-shot,RC_Result,7,Challenging,0.66,Incorrect,,b,C
zero-shot,RC_Result,10,Medium,0.61,Incorrect,,a,D
zero-shot,RC_Result,12,Challenging,11.22,Incorrect,,b,E
zero-shot,RC_Result,14,Challenging,1.14,Incorrect,,c,E
zero-shot,RC_Result,15,Medium,12.19,Incorrect,,a,C
zero-shot,RC_Result,17,Medium,0.33,Incorrect,,c,E
zero-shot,RC_Result,18,Medium,1.04,Incorrect,,b,C
zero-shot,RC_Result,23,Medium,0.46,Incorrect,,d,C
zero-shot,RC_Result,27,Medium,1.96,Incorrect,,b,C
zero-shot,RC_Result,30,Medium,4.61,Incorrect,,b,A
zero-shot,RC_Result,31,Medium,5.87,Incorrect,,b,C
zero-shot,RC_Result,33,Medium,0.24,Incorrect,,e,D
zero-shot,RC_Result,34,Medium,5.82,Incorrect,,c,D
zero-shot,RC_Result,39,Medium,6.12,Incorrect,,b,E
zero-shot,RC_Result,42,Medium,5.01,Incorrect,,a,E
zero-shot,RC_Result,44,Medium,0.57,Incorrect,,b,C
zero-shot,RC_Result,45,Medium,4.51,Incorrect,,c,B
zero-shot,RC_Result,47,Medium,0.27,Incorrect,,b,A
zero-shot,RC_Result,48,Medium,8.54,Incorrect,,c,E
zero-shot,CR,2,Medium,1.63,Incorrect,,d,E
zero-shot,CR,3,Medium,0.73,Incorrect,,c,A
zero-shot,CR,4,Medium,13.26,Incorrect,,a,C
zero-shot,CR,9,Medium,11.25,Incorrect,,a,D
zero-shot,CR,12,Challenging,18.42,Incorrect,,b,C
zero-shot,CR,14,Challenging,0.88,Incorrect,,c,D
zero-shot,CR,15,Medium,0.46,Incorrect,,a,B
zero-shot,CR,16,Medium,2.74,Incorrect,,b,C
zero-shot,CR,17,Medium,1.15,Incorrect,,c,A
zero-shot,CR,18,Medium,16.37,Incorrect,,a,C
zero-shot,CR,23,Medium,0.43,Incorrect,,d,C
zero-shot,CR,26,Medium,0.51,Incorrect,,d,B
zero-shot,CR,30,Medium,0.57,Incorrect,,b,A
zero-shot,CR,31,Medium,24.2,Incorrect,,b,E
zero-shot,CR,32,Medium,21.83,Incorrect,,e,B
zero-shot,CR,33,Medium,18.93,Incorrect,,e,D
zero-shot,CR,34,Medium,0.74,Incorrect,,c,D
zero-shot,CR,38,Medium,25.53,Incorrect,,c,B
zero-shot,CR,39,Medium,1.72,Incorrect,,b,C
zero-shot,CR,40,Medium,0.73,Incorrect,,c,B
zero-shot,CR,44,Medium,1.69,Incorrect,,b,C
zero-shot,CR,46,Medium,0.56,Incorrect,,b,A
five-shot,RC_Result,1,Medium,36.09,Correct,,b,B
five-shot,RC_Result,3,Medium,0.92,Correct,,c,C
five-shot,RC_Result,4,Medium,5.43,Correct,,a,A
five-shot,RC_Result,5,Medium,6.36,Correct,,c,C
five-shot,RC_Result,6,Difficult,0.92,Correct,,b,B
