Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,toefl_listening,N/A,N/A,1.52,Correct,,D,D
zero-shot,toefl_listening,N/A,N/A,1.01,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.42,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.41,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.6,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.6,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.6,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.78,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.63,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.59,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.36,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.61,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.84,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,7.98,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.43,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.89,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.71,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.9,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,5.92,Incorrect,,B,D
zero-shot,toefl_listening,N/A,N/A,0.66,Incorrect,,A,D
zero-shot,toefl_listening,N/A,N/A,0.68,Incorrect,,C,D
zero-shot,toefl_listening,N/A,N/A,0.65,Incorrect,,B D,D
zero-shot,toefl_listening,N/A,N/A,0.42,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,7.89,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,0.64,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,0.65,Correct,,D,D
five-shot,toefl_listening,N/A,N/A,5.65,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.57,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.49,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.25,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.77,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.8,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,3.18,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.98,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.86,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.95,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.84,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.61,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.05,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.86,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.42,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.68,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.68,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.91,Incorrect,,B,D
five-shot,toefl_listening,N/A,N/A,3.66,Incorrect,,A,D
five-shot,toefl_listening,N/A,N/A,5.86,Incorrect,,C,D
five-shot,toefl_listening,N/A,N/A,0.37,Incorrect,,B D,D
five-shot,toefl_listening,N/A,N/A,10.91,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,0.73,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,1.17,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,8.82,Correct,,D,D
chain-of-thought,toefl_listening,N/A,N/A,8.02,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.57,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,5.17,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.28,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.75,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,10.75,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.21,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.77,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,10.76,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,13.81,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.76,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.36,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.61,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,8.54,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.79,Incorrect,,B,D
chain-of-thought,toefl_listening,N/A,N/A,9.6,Incorrect,,A,D
chain-of-thought,toefl_listening,N/A,N/A,9.81,Incorrect,,C,D
chain-of-thought,toefl_listening,N/A,N/A,8.94,Incorrect,,B D,D
chain-of-thought,toefl_listening,N/A,N/A,5.87,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,10.01,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,4.55,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,3.64,Incorrect,,B,"D, B"
chain-of-thought,toefl_listening,N/A,N/A,6.06,Incorrect,,B,"C, A"
chain-of-thought,toefl_listening,N/A,N/A,2.87,Incorrect,,B,A
