Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,reading_comp,N/A,Hard,0.91,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,0.31,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,3.15,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.42,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.4,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.95,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.68,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,12.34,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,12.03,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,0.58,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.41,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.73,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.39,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,9.63,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.73,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,0.25,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,0.4,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,0.81,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.88,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.84,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,9.07,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,0.43,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,1.27,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,0.85,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.62,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.66,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,8.2,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.71,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.71,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,0.35,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.63,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.25,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.28,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.26,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.25,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.36,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.62,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,7.28,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.54,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.28,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,13.36,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.66,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,1.0,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.57,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.76,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.4,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.39,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.38,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.33,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.64,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,36.3,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,0.44,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,1.05,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,41.26,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Easy,0.51,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,0.65,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,0.51,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Hard,1.25,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Hard,0.93,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,0.31,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,0.37,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,0.8,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,0.37,Correct,,D,D
